id,filename,name,datum,utm_zone,date,size
9074184,PNOA_MDT200_ETRS89_HU29_A_Coruna.asc,A Coruña,ETRS89,29,2011,3.9
9074197,PNOA_MDT200_ETRS89_HU30_A_Coruna.asc,A Coruña,ETRS89,30,2011,3.9099999999999997
9074198,PNOA_MDT200_ETRS89_HU30_Alava.asc,Araba/Álava,ETRS89,30,2012,2.67
9074199,PNOA_MDT200_ETRS89_HU30_Albacete.asc,Albacete,ETRS89,30,2009,7.930000000000001
9074200,PNOA_MDT200_ETRS89_HU30_Alboran.asc,Alborán,ETRS89,30,2002,0.01
9074201,PNOA_MDT200_ETRS89_HU30_Alicante.asc,Alacant/Alicante,ETRS89,30,2009,3.7
9074248,PNOA_MDT200_ETRS89_HU31_Alicante.asc,Alacant/Alicante,ETRS89,31,2009,0.54
9074202,PNOA_MDT200_ETRS89_HU30_Almeria.asc,Almería,ETRS89,30,"2014, 2015",5.23
9074203,PNOA_MDT200_ETRS89_HU30_Asturias.asc,Asturias,ETRS89,30,2012,5.21
9074185,PNOA_MDT200_ETRS89_HU29_Asturias.asc,Asturias,ETRS89,29,2012,3.23
9074204,PNOA_MDT200_ETRS89_HU30_Avila.asc,Ávila,ETRS89,30,"2010, 2015",5.2700000000000005
9074205,PNOA_MDT200_ETRS89_HU30_Badajoz.asc,Badajoz,ETRS89,30,2010,10.01
9074186,PNOA_MDT200_ETRS89_HU29_Badajoz.asc,Badajoz,ETRS89,29,2010,6.6499999999999995
9074206,PNOA_MDT200_ETRS89_HU30_Baleares.asc,Illes Balears,ETRS89,30,2014,7.470000000000001
9074249,PNOA_MDT200_ETRS89_HU31_Baleares.asc,Illes Balears,ETRS89,31,2014,7.109999999999999
9074250,PNOA_MDT200_ETRS89_HU31_Barcelona.asc,Barcelona,ETRS89,31,"2008, 2009, 2010",4.17
9074207,PNOA_MDT200_ETRS89_HU30_Barcelona.asc,Barcelona,ETRS89,30,"2008, 2009, 2010",4.23
9074208,PNOA_MDT200_ETRS89_HU30_Burgos.asc,Burgos,ETRS89,30,"2010, 2012",8.26
9074187,PNOA_MDT200_ETRS89_HU29_Caceres.asc,Cáceres,ETRS89,29,2010,6.7
9074209,PNOA_MDT200_ETRS89_HU30_Caceres.asc,Cáceres,ETRS89,30,2010,8.84
9074210,PNOA_MDT200_ETRS89_HU30_Cadiz.asc,Cádiz,ETRS89,30,"2014, 2015",3.4
9074188,PNOA_MDT200_ETRS89_HU29_Cadiz.asc,Cádiz,ETRS89,29,"2014, 2015",1.56
9074211,PNOA_MDT200_ETRS89_HU30_Cantabria.asc,Cantabria,ETRS89,30,2012,3.51
9074212,PNOA_MDT200_ETRS89_HU30_Castellon.asc,Castelló/Castellón,ETRS89,30,2009,4.38
9074251,PNOA_MDT200_ETRS89_HU31_Castellon.asc,Castelló/Castellón,ETRS89,31,2009,2.9
9074213,PNOA_MDT200_ETRS89_HU30_Ceuta.asc,Ceuta,ETRS89,30,2014,0.01
