id,download_id,series,datum,utm_zone,date,size
0001,9072660,02107,ETRS89,29,2010,0.88
0002,9072661,02107,ETRS89,29,"2009, 2010",1.32
0003,9072662,02107,ETRS89,29,2009,0.36
0006,9072663,02107,ETRS89,29,2010,0.6
0007,9072664,02107,ETRS89,29,2010,3.01
0008,9072665,02107,ETRS89,29,"2009, 2010",3.35
0009,9072666,02107,ETRS89,29,2009,2.62
0010,9072667,02107,ETRS89,29,"2009, 2012",1.2
0011,9072668,02107,ETRS89,29,2012,1.26
0012,9072669,02107,ETRS89,29,2012,1.38
0013,9072670,02107,ETRS89,29,2012,1.76
0020,9072671,02107,ETRS89,29,2010,0.04
0021,9072672,02107,ETRS89,29,2010,1.25
0022,9072673,02107,ETRS89,29,"2009, 2010",3.21
0023,9072674,02107,ETRS89,29,"2009, 2010",3.28
0024,9072675,02107,ETRS89,29,"2009, 2012",3.41
0025,9072676,02107,ETRS89,29,"2009, 2012",3.45
0026,9072677,02107,ETRS89,29,2012,3.51
0027,9072678,02107,ETRS89,29,2012,3.53
0028,9072679,02107,ETRS89,29,2012,3.47
0043,9072680,02107,ETRS89,29,2010,1.34
0044,9072681,02107,ETRS89,29,2010,2.73
0045,9072682,02107,ETRS89,29,2010,3.17
0046,9072683,02107,ETRS89,29,"2009, 2010",3.28
0047,9072684,02107,ETRS89,29,"2009, 2010",3.14
0048,9072685,02107,ETRS89,29,2009,3.28
0049,9072686,02107,ETRS89,29,"2009, 2012",3.43
0050,9072687,02107,ETRS89,29,"2009, 2012",3.48
0051,9072688,02107,ETRS89,29,2012,3.53
0052,9072689,02107,ETRS89,29,2012,3.56
0067,9072690,02107,ETRS89,29,2010,0.53
0068,9072691,02107,ETRS89,29,2010,3.08
0069,9072692,02107,ETRS89,29,2010,3.12
0070,9072693,02107,ETRS89,29,2010,3.12
0071,9072694,02107,ETRS89,29,"2009, 2010",3.22
0072,9072695,02107,ETRS89,29,2009,3.18
0073,9072696,02107,ETRS89,29,2009,3.33
0074,9072697,02107,ETRS89,29,"2009, 2012",3.44
0075,9072698,02107,ETRS89,29,"2009, 2010, 2012",3.48
0076,9072699,02107,ETRS89,29,"2010, 2012",3.46
0077,9072700,02107,ETRS89,29,"2010, 2012",3.5
0092,9072701,02107,ETRS89,29,2010,0.45
0093,9072702,02107,ETRS89,29,2010,2.91
0094,9072703,02107,ETRS89,29,2010,3.19
0095,9072704,02107,ETRS89,29,2010,3.16
0096,9072705,02107,ETRS89,29,"2009, 2010",3.25
0097,9072706,02107,ETRS89,29,2009,3.27
0098,9072707,02107,ETRS89,29,2009,3.32
0099,9072708,02107,ETRS89,29,"2009, 2010, 2012",3.46
0100,9072709,02107,ETRS89,29,"2009, 2010, 2012",3.44
0101,9072710,02107,ETRS89,29,"2010, 2012",3.43
0102,9072711,02107,ETRS89,29,"2010, 2012",3.42
0119,9072712,02107,ETRS89,29,2010,1.89
0120,9072713,02107,ETRS89,29,2010,3.27
0121,9072714,02107,ETRS89,29,2010,3.27
0122,9072715,02107,ETRS89,29,"2009, 2010",3.28
0123,9072716,02107,ETRS89,29,2009,3.32
0124,9072717,02107,ETRS89,29,2009,3.37
0125,9072718,02107,ETRS89,29,"2009, 2010",3.4
0126,9072719,02107,ETRS89,29,"2009, 2010, 2012",3.41
0127,9072720,02107,ETRS89,29,"2010, 2012",3.43
0128,9072721,02107,ETRS89,29,2010,3.35
0151,9072722,02107,ETRS89,29,2010,1.12
0152,9072723,02107,ETRS89,29,2010,2.81
0153,9072724,02107,ETRS89,29,"2009, 2010",3.34
0154,9072725,02107,ETRS89,29,"2009, 2010",3.28
0155,9072726,02107,ETRS89,29,2009,3.34
0156,9072727,02107,ETRS89,29,2009,3.4
0157,9072728,02107,ETRS89,29,"2009, 2010",3.43
0158,9072729,02107,ETRS89,29,"2009, 2010",3.35
0159,9072730,02107,ETRS89,29,2010,3.39
0160,9072731,02107,ETRS89,29,2010,3.23
0184,9072732,02107,ETRS89,29,2010,0.28
0185,9072733,02107,ETRS89,29,"2009, 2010",2.74
0186,9072734,02107,ETRS89,29,"2009, 2010",3.38
0187,9072735,02107,ETRS89,29,2009,3.29
0188,9072736,02107,ETRS89,29,2009,3.4
0189,9072737,02107,ETRS89,29,2009,3.44
0190,9072738,02107,ETRS89,29,"2009, 2010",3.49
0191,9072739,02107,ETRS89,29,"2009, 2010",3.49
0192,9072740,02107,ETRS89,29,2010,3.39
0193,9072741,02107,ETRS89,29,2010,3.18
0222,9072742,02107,ETRS89,29,2010,0.09
0223,9072743,02107,ETRS89,29,"2009, 2010",2.64
0224,9072744,02107,ETRS89,29,2009,3.39
0225,9072745,02107,ETRS89,29,2009,3.3
0226,9072746,02107,ETRS89,29,2009,3.34
0227,9072747,02107,ETRS89,29,2009,3.36
0228,9072748,02107,ETRS89,29,"2009, 2010",3.37
0229,9072749,02107,ETRS89,29,"2009, 2010",3.43
0230,9072750,02107,ETRS89,29,2010,3.42
0231,9072751,02107,ETRS89,29,2010,3.22
0260,9072752,02107,ETRS89,29,"2009, 2010",0.3
0261,9072753,02107,ETRS89,29,"2009, 2010",3.1
0262,9072754,02107,ETRS89,29,2009,1.97
0263,9072755,02107,ETRS89,29,2009,3.16
0264,9072756,02107,ETRS89,29,2009,3.04
0265,9072757,02107,ETRS89,29,2009,3.37
0266,9072758,02107,ETRS89,29,"2009, 2010",3.38
0267,9072759,02107,ETRS89,29,2010,3.34
0268,9072760,02107,ETRS89,29,2010,3.27
0269,9072761,02107,ETRS89,29,2010,3.19
0298,9072762,02107,ETRS89,29,2009,0.28
0299,9072763,02107,ETRS89,29,2009,1.12
0300,9072765,02107,ETRS89,29,2009,0.03
0300,9072764,02107,ETRS89,29,2009,0.48
0301,9072766,02107,ETRS89,29,2009,3.29
0302,9072768,02107,ETRS89,29,2009,0.33
0302,9072767,02107,ETRS89,29,2009,3.16
0303,9072770,02107,ETRS89,29,2009,0.46
0303,9072769,02107,ETRS89,29,2009,3.33
0304,9072771,02107,ETRS89,29,"2009, 2010",1.68
0305,9072772,02107,ETRS89,29,2010,2.29
0306,9072773,02107,ETRS89,29,2010,3.28
0307,9072774,02107,ETRS89,29,2010,3.22
0336,9072775,02107,ETRS89,29,2009,0.47
0337,9072776,02107,ETRS89,29,"2010, 2014",0.77
0338,9072777,02107,ETRS89,29,"2010, 2014",3.29
0339,9072778,02107,ETRS89,29,"2010, 2014",3.29
0367,9072779,02107,ETRS89,29,2014,0.88
0368,9072780,02107,ETRS89,29,"2010, 2014",3.17
0395,9072781,02107,ETRS89,29,2014,1.76
0396,9072782,02107,ETRS89,29,2014,3.19
0422,9072783,02107,ETRS89,29,2014,1.11
0423,9072784,02107,ETRS89,29,2014,2.81
0424,9072785,02107,ETRS89,29,2014,3.14
0448,9072786,02107,ETRS89,29,2014,0.29
0449,9072787,02107,ETRS89,29,2014,2.84
0450,9072788,02107,ETRS89,29,2014,3.18
0451,9072789,02107,ETRS89,29,2014,3.18
0474,9072790,02107,ETRS89,29,2014,0.29
0475,9072791,02107,ETRS89,29,2014,3.26
0476,9072792,02107,ETRS89,29,2014,3.23
0477,9072793,02107,ETRS89,29,2014,3.19
0500,9072794,02107,ETRS89,29,2014,3.11
0501,9072795,02107,ETRS89,29,2014,3.12
0502,9072796,02107,ETRS89,29,2014,3.28
0525,9072797,02107,ETRS89,29,2014,3.06
0526,9072798,02107,ETRS89,29,"2010, 2014",3.38
0527,9072799,02107,ETRS89,29,"2010, 2014",3.45
0550,9072800,02107,ETRS89,29,"2010, 2014",3.26
0551,9072801,02107,ETRS89,29,"2010, 2014",3.54
0552,9072802,02107,ETRS89,29,"2010, 2014",3.61
0572,9072803,02107,ETRS89,29,"2010, 2014",1.91
0573,9072804,02107,ETRS89,29,"2010, 2014",3.51
0574,9072805,02107,ETRS89,29,2010,3.57
0575,9072806,02107,ETRS89,29,"2010, 2014",3.4
0595,9072807,02107,ETRS89,29,2010,1.52
0596,9072808,02107,ETRS89,29,2010,3.33
0597,9072809,02107,ETRS89,29,2010,3.37
0598,9072810,02107,ETRS89,29,2010,3.56
0620,9072811,02107,ETRS89,29,2010,1.33
0621,9072812,02107,ETRS89,29,2010,3.35
0622,9072813,02107,ETRS89,29,2010,3.37
0623,9072814,02107,ETRS89,29,2010,3.47
0648,9072815,02107,ETRS89,29,2010,2.07
0649,9072816,02107,ETRS89,29,2010,3.23
0650,9072817,02107,ETRS89,29,2010,3.34
0651,9072818,02107,ETRS89,29,2010,3.42
0674,9072819,02107,ETRS89,29,2010,0.88
0675,9072820,02107,ETRS89,29,2010,3.33
0676,9072821,02107,ETRS89,29,2010,3.36
0677,9072822,02107,ETRS89,29,2010,3.33
0678,9072823,02107,ETRS89,29,2010,3.38
