filename,name,datum,utm_zone,date,size
PNOA-MDT05-ETRS89-HU29-0001-LID.TIF,0001,MDT05,29,2010,21.68
PNOA-MDT05-ETRS89-HU29-0002-LID.TIF,0002,MDT05,29,"2009, 2010",32.33
PNOA-MDT05-ETRS89-HU29-0003-LID.TIF,0003,MDT05,29,2009,8.44
PNOA-MDT05-ETRS89-HU29-0006-LID.TIF,0006,MDT05,29,2010,13.95
PNOA-MDT05-ETRS89-HU29-0007-LID.TIF,0007,MDT05,29,2010,74.57
PNOA-MDT05-ETRS89-HU29-0008-LID.TIF,0008,MDT05,29,"2009, 2010",84.8
PNOA-MDT05-ETRS89-HU29-0009-LID.TIF,0009,MDT05,29,2009,64.66
PNOA-MDT05-ETRS89-HU29-0010-LID.TIF,0010,MDT05,29,"2009, 2012",27.83
PNOA-MDT05-ETRS89-HU29-0011-LID.TIF,0011,MDT05,29,2012,29.37
PNOA-MDT05-ETRS89-HU29-0012-LID.TIF,0012,MDT05,29,2012,32.73
PNOA-MDT05-ETRS89-HU29-0013-LID.TIF,0013,MDT05,29,2012,41.76
PNOA-MDT05-ETRS89-HU29-0020-LID.TIF,0020,MDT05,29,2010,0.64
PNOA-MDT05-ETRS89-HU29-0021-LID.TIF,0021,MDT05,29,2010,29.73
PNOA-MDT05-ETRS89-HU29-0022-LID.TIF,0022,MDT05,29,"2009, 2010",79.42
PNOA-MDT05-ETRS89-HU29-0023-LID.TIF,0023,MDT05,29,"2009, 2010",80.67
PNOA-MDT05-ETRS89-HU29-0024-LID.TIF,0024,MDT05,29,"2009, 2012",84.98
PNOA-MDT05-ETRS89-HU29-0025-LID.TIF,0025,MDT05,29,"2009, 2012",83.49
PNOA-MDT05-ETRS89-HU29-0026-LID.TIF,0026,MDT05,29,2012,84.99
PNOA-MDT05-ETRS89-HU29-0027-LID.TIF,0027,MDT05,29,2012,84.32
PNOA-MDT05-ETRS89-HU29-0028-LID.TIF,0028,MDT05,29,2012,84.35
PNOA-MDT05-ETRS89-HU29-0043-LID.TIF,0043,MDT05,29,2010,34.59
PNOA-MDT05-ETRS89-HU29-0044-LID.TIF,0044,MDT05,29,2010,66.8
PNOA-MDT05-ETRS89-HU29-0045-LID.TIF,0045,MDT05,29,2010,78.97
PNOA-MDT05-ETRS89-HU29-0046-LID.TIF,0046,MDT05,29,"2009, 2010",80.09
PNOA-MDT05-ETRS89-HU29-0047-LID.TIF,0047,MDT05,29,"2009, 2010",76.18
PNOA-MDT05-ETRS89-HU29-0048-LID.TIF,0048,MDT05,29,2009,79.69
PNOA-MDT05-ETRS89-HU29-0049-LID.TIF,0049,MDT05,29,"2009, 2012",84.15
PNOA-MDT05-ETRS89-HU29-0050-LID.TIF,0050,MDT05,29,"2009, 2012",84.3
PNOA-MDT05-ETRS89-HU29-0051-LID.TIF,0051,MDT05,29,2012,86.03
PNOA-MDT05-ETRS89-HU29-0052-LID.TIF,0052,MDT05,29,2012,87.88
PNOA-MDT05-ETRS89-HU29-0067-LID.TIF,0067,MDT05,29,2010,12.26
PNOA-MDT05-ETRS89-HU29-0068-LID.TIF,0068,MDT05,29,2010,75.83
PNOA-MDT05-ETRS89-HU29-0069-LID.TIF,0069,MDT05,29,2010,77.22
PNOA-MDT05-ETRS89-HU29-0070-LID.TIF,0070,MDT05,29,2010,77.92
PNOA-MDT05-ETRS89-HU29-0071-LID.TIF,0071,MDT05,29,"2009, 2010",78.24
PNOA-MDT05-ETRS89-HU29-0072-LID.TIF,0072,MDT05,29,2009,77.02
PNOA-MDT05-ETRS89-HU29-0073-LID.TIF,0073,MDT05,29,2009,81.76
PNOA-MDT05-ETRS89-HU29-0074-LID.TIF,0074,MDT05,29,"2009, 2012",86.31
PNOA-MDT05-ETRS89-HU29-0075-LID.TIF,0075,MDT05,29,"2009, 2010, 2012",85.62
PNOA-MDT05-ETRS89-HU29-0076-LID.TIF,0076,MDT05,29,"2010, 2012",85.6
PNOA-MDT05-ETRS89-HU29-0077-LID.TIF,0077,MDT05,29,"2010, 2012",86.95
PNOA-MDT05-ETRS89-HU29-0092-LID.TIF,0092,MDT05,29,2010,10.59
PNOA-MDT05-ETRS89-HU29-0093-LID.TIF,0093,MDT05,29,2010,72.07
PNOA-MDT05-ETRS89-HU29-0094-LID.TIF,0094,MDT05,29,2010,79.63
PNOA-MDT05-ETRS89-HU29-0095-LID.TIF,0095,MDT05,29,2010,78.76
PNOA-MDT05-ETRS89-HU29-0096-LID.TIF,0096,MDT05,29,"2009, 2010",79.61
PNOA-MDT05-ETRS89-HU29-0097-LID.TIF,0097,MDT05,29,2009,79.88
PNOA-MDT05-ETRS89-HU29-0098-LID.TIF,0098,MDT05,29,2009,81.75
PNOA-MDT05-ETRS89-HU29-0099-LID.TIF,0099,MDT05,29,"2009, 2010, 2012",87.68
PNOA-MDT05-ETRS89-HU29-0100-LID.TIF,0100,MDT05,29,"2009, 2010, 2012",85.59
PNOA-MDT05-ETRS89-HU29-0101-LID.TIF,0101,MDT05,29,"2010, 2012",86.46
PNOA-MDT05-ETRS89-HU29-0102-LID.TIF,0102,MDT05,29,"2010, 2012",86.06
PNOA-MDT05-ETRS89-HU29-0119-LID.TIF,0119,MDT05,29,2010,45.99
PNOA-MDT05-ETRS89-HU29-0120-LID.TIF,0120,MDT05,29,2010,81.08
PNOA-MDT05-ETRS89-HU29-0121-LID.TIF,0121,MDT05,29,2010,81.28
PNOA-MDT05-ETRS89-HU29-0122-LID.TIF,0122,MDT05,29,"2009, 2010",80.35
PNOA-MDT05-ETRS89-HU29-0123-LID.TIF,0123,MDT05,29,2009,80.73
PNOA-MDT05-ETRS89-HU29-0124-LID.TIF,0124,MDT05,29,2009,83.09
PNOA-MDT05-ETRS89-HU29-0125-LID.TIF,0125,MDT05,29,"2009, 2010",86.98
PNOA-MDT05-ETRS89-HU29-0126-LID.TIF,0126,MDT05,29,"2009, 2010, 2012",86.47
PNOA-MDT05-ETRS89-HU29-0127-LID.TIF,0127,MDT05,29,"2010, 2012",86.85
PNOA-MDT05-ETRS89-HU29-0128-LID.TIF,0128,MDT05,29,2010,83.02
PNOA-MDT05-ETRS89-HU29-0151-LID.TIF,0151,MDT05,29,2010,26.67
PNOA-MDT05-ETRS89-HU29-0152-LID.TIF,0152,MDT05,29,2010,69
PNOA-MDT05-ETRS89-HU29-0153-LID.TIF,0153,MDT05,29,"2009, 2010",83.24
PNOA-MDT05-ETRS89-HU29-0154-LID.TIF,0154,MDT05,29,"2009, 2010",81.6
PNOA-MDT05-ETRS89-HU29-0155-LID.TIF,0155,MDT05,29,2009,80.9
PNOA-MDT05-ETRS89-HU29-0156-LID.TIF,0156,MDT05,29,2009,84.53
PNOA-MDT05-ETRS89-HU29-0157-LID.TIF,0157,MDT05,29,"2009, 2010",87.8
PNOA-MDT05-ETRS89-HU29-0158-LID.TIF,0158,MDT05,29,"2009, 2010",80.9
PNOA-MDT05-ETRS89-HU29-0159-LID.TIF,0159,MDT05,29,2010,84.09
