series,name,id,page
MDT05,PNOA-MDT05-ETRS89-HU29-0001-LID.asc,9071136,1
MDT05,PNOA-MDT05-ETRS89-HU29-0002-LID.asc,9071137,1
MDT05,PNOA-MDT05-ETRS89-HU29-0003-LID.asc,9071138,1
MDT05,PNOA-MDT05-ETRS89-HU29-0006-LID.asc,9071139,1
MDT05,PNOA-MDT05-ETRS89-HU29-0007-LID.asc,9071140,1
MDT05,PNOA-MDT05-ETRS89-HU29-0008-LID.asc,9071141,1
MDT05,PNOA-MDT05-ETRS89-HU29-0009-LID.asc,9071142,1
MDT05,PNOA-MDT05-ETRS89-HU29-0010-LID.asc,9071143,1
MDT05,PNOA-MDT05-ETRS89-HU29-0011-LID.asc,9071144,1
MDT05,PNOA-MDT05-ETRS89-HU29-0012-LID.asc,9071145,1
MDT05,PNOA-MDT05-ETRS89-HU29-0013-LID.asc,9071146,1
MDT05,PNOA-MDT05-ETRS89-HU29-0020-LID.asc,9071147,1
MDT05,PNOA-MDT05-ETRS89-HU29-0021-LID.asc,9071148,1
MDT05,PNOA-MDT05-ETRS89-HU29-0022-LID.asc,9071149,1
MDT05,PNOA-MDT05-ETRS89-HU29-0023-LID.asc,9071150,1
MDT05,PNOA-MDT05-ETRS89-HU29-0024-LID.asc,9071151,1
MDT05,PNOA-MDT05-ETRS89-HU29-0025-LID.asc,9071152,1
MDT05,PNOA-MDT05-ETRS89-HU29-0026-LID.asc,9071153,1
MDT05,PNOA-MDT05-ETRS89-HU29-0027-LID.asc,9071154,1
MDT05,PNOA-MDT05-ETRS89-HU29-0028-LID.asc,9071155,1
MDT05,PNOA-MDT05-ETRS89-HU29-0043-LID.asc,9071156,1
MDT05,PNOA-MDT05-ETRS89-HU29-0044-LID.asc,9071157,1
MDT05,PNOA-MDT05-ETRS89-HU29-0045-LID.asc,9071158,1
MDT05,PNOA-MDT05-ETRS89-HU29-0046-LID.asc,9071159,1
MDT05,PNOA-MDT05-ETRS89-HU29-0047-LID.asc,9071160,1
