id,filename,name,datum,utm_zone,date,size
9071136,PNOA_MDT05_ETRS89_HU29_0001_LID.asc,0001,ETRS89,29,2010,79.09
9071137,PNOA_MDT05_ETRS89_HU29_0002_LID.asc,0002,ETRS89,29,"2010, 2009",80.66
9071138,PNOA_MDT05_ETRS89_HU29_0003_LID.asc,0003,ETRS89,29,2009,90.79
9071139,PNOA_MDT05_ETRS89_HU29_0006_LID.asc,0006,ETRS89,29,2010,85.4
9071140,PNOA_MDT05_ETRS89_HU29_0007_LID.asc,0007,ETRS89,29,2010,140.92000000000002
9071141,PNOA_MDT05_ETRS89_HU29_0008_LID.asc,0008,ETRS89,29,"2010, 2009",155.26
9071142,PNOA_MDT05_ETRS89_HU29_0009_LID.asc,0009,ETRS89,29,2009,126.91000000000001
9071143,PNOA_MDT05_ETRS89_HU29_0010_LID.asc,0010,ETRS89,29,"2009, 2012",107.2
9071144,PNOA_MDT05_ETRS89_HU29_0011_LID.asc,0011,ETRS89,29,2012,109.74000000000001
9071145,PNOA_MDT05_ETRS89_HU29_0012_LID.asc,0012,ETRS89,29,2012,100.14
9071146,PNOA_MDT05_ETRS89_HU29_0013_LID.asc,0013,ETRS89,29,2012,97.23
9071147,PNOA_MDT05_ETRS89_HU29_0020_LID.asc,0020,ETRS89,29,2010,68.23
9071148,PNOA_MDT05_ETRS89_HU29_0021_LID.asc,0021,ETRS89,29,2010,89.81
9071149,PNOA_MDT05_ETRS89_HU29_0022_LID.asc,0022,ETRS89,29,"2010, 2009",152.58
9071150,PNOA_MDT05_ETRS89_HU29_0023_LID.asc,0023,ETRS89,29,"2010, 2009",157.10999999999999
9071151,PNOA_MDT05_ETRS89_HU29_0024_LID.asc,0024,ETRS89,29,"2009, 2012",157.45000000000002
9071152,PNOA_MDT05_ETRS89_HU29_0025_LID.asc,0025,ETRS89,29,"2009, 2012",154.63
9071153,PNOA_MDT05_ETRS89_HU29_0026_LID.asc,0026,ETRS89,29,2012,157.23
9071154,PNOA_MDT05_ETRS89_HU29_0027_LID.asc,0027,ETRS89,29,2012,158.76999999999998
9071155,PNOA_MDT05_ETRS89_HU29_0028_LID.asc,0028,ETRS89,29,2012,158.70999999999998
9071156,PNOA_MDT05_ETRS89_HU29_0043_LID.asc,0043,ETRS89,29,2010,94.61999999999999
9071157,PNOA_MDT05_ETRS89_HU29_0044_LID.asc,0044,ETRS89,29,2010,132.76
9071158,PNOA_MDT05_ETRS89_HU29_0045_LID.asc,0045,ETRS89,29,2010,146.92000000000002
9071159,PNOA_MDT05_ETRS89_HU29_0046_LID.asc,0046,ETRS89,29,"2010, 2009",155.66
9071160,PNOA_MDT05_ETRS89_HU29_0047_LID.asc,0047,ETRS89,29,"2010, 2009",157.4
9071161,PNOA_MDT05_ETRS89_HU29_0048_LID.asc,0048,ETRS89,29,2009,158.69
9071162,PNOA_MDT05_ETRS89_HU29_0049_LID.asc,0049,ETRS89,29,"2009, 2012",157.65
9071163,PNOA_MDT05_ETRS89_HU29_0050_LID.asc,0050,ETRS89,29,"2009, 2012",160.78
9071164,PNOA_MDT05_ETRS89_HU29_0051_LID.asc,0051,ETRS89,29,2012,162.14
9071165,PNOA_MDT05_ETRS89_HU29_0052_LID.asc,0052,ETRS89,29,2012,165.62
9071166,PNOA_MDT05_ETRS89_HU29_0067_LID.asc,0067,ETRS89,29,2010,35.839999999999996
9071167,PNOA_MDT05_ETRS89_HU29_0068_LID.asc,0068,ETRS89,29,2010,148.53
9071168,PNOA_MDT05_ETRS89_HU29_0069_LID.asc,0069,ETRS89,29,2010,153.91
9071169,PNOA_MDT05_ETRS89_HU29_0070_LID.asc,0070,ETRS89,29,2010,155.20999999999998
9071170,PNOA_MDT05_ETRS89_HU29_0071_LID.asc,0071,ETRS89,29,"2010, 2009",156.49
9071171,PNOA_MDT05_ETRS89_HU29_0072_LID.asc,0072,ETRS89,29,2009,157.8
9071172,PNOA_MDT05_ETRS89_HU29_0073_LID.asc,0073,ETRS89,29,2009,159.19
9071173,PNOA_MDT05_ETRS89_HU29_0074_LID.asc,0074,ETRS89,29,"2009, 2012",159.73
9071174,PNOA_MDT05_ETRS89_HU29_0075_LID.asc,0075,ETRS89,29,"2010, 2009, 2012",166.13
9071175,PNOA_MDT05_ETRS89_HU29_0076_LID.asc,0076,ETRS89,29,"2010, 2012",175.54
9071176,PNOA_MDT05_ETRS89_HU29_0077_LID.asc,0077,ETRS89,29,"2010, 2012",178.03
9071177,PNOA_MDT05_ETRS89_HU29_0092_LID.asc,0092,ETRS89,29,2010,32.949999999999996
9071178,PNOA_MDT05_ETRS89_HU29_0093_LID.asc,0093,ETRS89,29,2010,141.23999999999998
9071179,PNOA_MDT05_ETRS89_HU29_0094_LID.asc,0094,ETRS89,29,2010,153.28
9071180,PNOA_MDT05_ETRS89_HU29_0095_LID.asc,0095,ETRS89,29,2010,155.60999999999999
9071181,PNOA_MDT05_ETRS89_HU29_0096_LID.asc,0096,ETRS89,29,"2010, 2009",156.97
9071182,PNOA_MDT05_ETRS89_HU29_0097_LID.asc,0097,ETRS89,29,2009,158.26
9071183,PNOA_MDT05_ETRS89_HU29_0098_LID.asc,0098,ETRS89,29,2009,159.72
9071184,PNOA_MDT05_ETRS89_HU29_0099_LID.asc,0099,ETRS89,29,"2010, 2009, 2012",163.54
9071185,PNOA_MDT05_ETRS89_HU29_0100_LID.asc,0100,ETRS89,29,"2010, 2009, 2012",175.76
9071186,PNOA_MDT05_ETRS89_HU29_0101_LID.asc,0101,ETRS89,29,"2010, 2012",182.67
9071187,PNOA_MDT05_ETRS89_HU29_0102_LID.asc,0102,ETRS89,29,"2010, 2012",185.83
9071188,PNOA_MDT05_ETRS89_HU29_0119_LID.asc,0119,ETRS89,29,2010,97.16999999999999
9071189,PNOA_MDT05_ETRS89_HU29_0120_LID.asc,0120,ETRS89,29,2010,147.31
9071190,PNOA_MDT05_ETRS89_HU29_0121_LID.asc,0121,ETRS89,29,2010,154.73999999999998
9071191,PNOA_MDT05_ETRS89_HU29_0122_LID.asc,0122,ETRS89,29,"2010, 2009",157.29
9071192,PNOA_MDT05_ETRS89_HU29_0123_LID.asc,0123,ETRS89,29,2009,158.63
9071193,PNOA_MDT05_ETRS89_HU29_0124_LID.asc,0124,ETRS89,29,2009,161.76999999999998
9071194,PNOA_MDT05_ETRS89_HU29_0125_LID.asc,0125,ETRS89,29,"2010, 2009",172.41
9071195,PNOA_MDT05_ETRS89_HU29_0126_LID.asc,0126,ETRS89,29,"2010, 2009, 2012",169.81
9071196,PNOA_MDT05_ETRS89_HU29_0127_LID.asc,0127,ETRS89,29,"2010, 2012",178.82000000000002
9071197,PNOA_MDT05_ETRS89_HU29_0128_LID.asc,0128,ETRS89,29,2010,185.8
9071198,PNOA_MDT05_ETRS89_HU29_0151_LID.asc,0151,ETRS89,29,2010,71.49000000000001
9071199,PNOA_MDT05_ETRS89_HU29_0152_LID.asc,0152,ETRS89,29,2010,130.72
9071200,PNOA_MDT05_ETRS89_HU29_0153_LID.asc,0153,ETRS89,29,"2010, 2009",156.38000000000002
9071201,PNOA_MDT05_ETRS89_HU29_0154_LID.asc,0154,ETRS89,29,"2010, 2009",157.97
9071202,PNOA_MDT05_ETRS89_HU29_0155_LID.asc,0155,ETRS89,29,2009,159.06
9071203,PNOA_MDT05_ETRS89_HU29_0156_LID.asc,0156,ETRS89,29,2009,161.94
9071204,PNOA_MDT05_ETRS89_HU29_0157_LID.asc,0157,ETRS89,29,"2010, 2009",170.91
9071205,PNOA_MDT05_ETRS89_HU29_0158_LID.asc,0158,ETRS89,29,"2010, 2009",163.06
9071206,PNOA_MDT05_ETRS89_HU29_0159_LID.asc,0159,ETRS89,29,2010,174.70999999999998
9071207,PNOA_MDT05_ETRS89_HU29_0160_LID.asc,0160,ETRS89,29,2010,173.87
9071208,PNOA_MDT05_ETRS89_HU29_0184_LID.asc,0184,ETRS89,29,2010,74.76
9071209,PNOA_MDT05_ETRS89_HU29_0185_LID.asc,0185,ETRS89,29,"2010, 2009",127.03
9071210,PNOA_MDT05_ETRS89_HU29_0186_LID.asc,0186,ETRS89,29,"2010, 2009",156.91
9071211,PNOA_MDT05_ETRS89_HU29_0187_LID.asc,0187,ETRS89,29,2009,157.73999999999998
9071212,PNOA_MDT05_ETRS89_HU29_0188_LID.asc,0188,ETRS89,29,2009,160.08
9071213,PNOA_MDT05_ETRS89_HU29_0189_LID.asc,0189,ETRS89,29,2009,161.56
